NU_ANO,CO_IES,CO_CATEGAD,CO_ORGACAD,CO_GRUPO,CO_CURSO,CO_MODALIDADE,CO_MUNIC_CURSO,CO_UF_CURSO,CO_REGIAO_CURSO,NU_IDADE,TP_SEXO,ANO_FIM_2G,ANO_IN_GRAD,TP_SEMESTRE,IN_MATUT,IN_VESPER,IN_NOTURNO,ID_STATUS,AMOSTRA,IN_GRAD,NU_ITEM_OFG,NU_ITEM_OFG_Z,NU_ITEM_OFG_X,NU_ITEM_OFG_N,NU_ITEM_OCE,NU_ITEM_OCE_Z,NU_ITEM_OCE_X,NU_ITEM_OCE_N,DS_VT_GAB_OFG_ORIG,DS_VT_GAB_OFG_FIN,DS_VT_GAB_OCE_ORIG,DS_VT_GAB_OCE_FIN,DS_VT_ESC_OFG,DS_VT_ACE_OFG,DS_VT_ESC_OCE,DS_VT_ACE_OCE,TP_PRES,TP_PR_GER,TP_PR_OB_FG,TP_PR_DI_FG,TP_PR_OB_CE,TP_PR_DI_CE,TP_SFG_D1,TP_SFG_D2,TP_SCE_D1,TP_SCE_D2,TP_SCE_D3,NT_GER,NT_FG,NT_OBJ_FG,NT_DIS_FG,NT_FG_D1,NT_FG_D1_PT,NT_FG_D1_CT,NT_FG_D2,NT_FG_D2_PT,NT_FG_D2_CT,NT_CE,NT_OBJ_CE,NT_DIS_CE,NT_CE_D1,NT_CE_D2,NT_CE_D3,CO_RS_I1,CO_RS_I2,CO_RS_I3,CO_RS_I4,CO_RS_I5,CO_RS_I6,CO_RS_I7,CO_RS_I8,CO_RS_I9,QE_I01,QE_I02,QE_I03,QE_I04,QE_I05,QE_I06,QE_I07,QE_I08,QE_I09,QE_I10,QE_I11,QE_I12,QE_I13,QE_I14,QE_I15,QE_I16,QE_I17,QE_I18,QE_I19,QE_I20,QE_I21,QE_I22,QE_I23,QE_I24,QE_I25,QE_I26,QE_I27,QE_I28,QE_I29,QE_I30,QE_I31,QE_I32,QE_I33,QE_I34,QE_I35,QE_I36,QE_I37,QE_I38,QE_I39,QE_I40,QE_I41,QE_I42,QE_I43,QE_I44,QE_I45,QE_I46,QE_I47,QE_I48,QE_I49,QE_I50,QE_I51,QE_I52,QE_I53,QE_I54,QE_I55,QE_I56,QE_I57,QE_I58,QE_I59,QE_I60,QE_I61,QE_I62,QE_I63,QE_I64,QE_I65,QE_I66,QE_I67,QE_I68
2016,5,10002,10028,12,484,1,2211001,22,2,23,M,2010,2011,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBBEBAECACDACECDADBDEEEDADB,DBBEXAECXCDAXECDAXBDEEEDADX,AAEBBDCE,01110100,DEBEBAECACDAAECDABBDEEBDADA,101191119111911119111101119,555,555,555,555,555,555,555,555,555,555,555,80.7,68.2,50,95.5,95,75,100,96,80,100,84.8,90.9,50,20,40,90,C,C,C,B,A,C,B,D,B,A,D,A,E,E,B,D,F,B,A,A,A,D,A,A,22,B,A,B,C,A,E,E,C,E,F,6,6,5,5,6,6,5,5,6,6,5,5,5,5,6,6,6,5,5,6,5,4,5,6,6,4,5,6,6,6,5,6,4,6,5,5,4,3,5,6,5,4
2016,5,10002,10028,23,486,1,2211001,22,2,22,F,2011,2013,2,1,1,0,1,1,0,8,0,0,0,27,0,5,0,CAEBCDAC,CAEBCDAC,DBCBEEAEBDACACAADCDECBDDCBE,DBCXEXAEBDACAXAADCDXCBDXCBE,CAEABDAE,11100110,DCABDBABBECCAEABDCDEADDECBD,100909101001191011190019110,555,555,555,555,555,555,555,555,555,555,555,59.1,61.9,62.5,61,82,90,80,40,80,30,58.1,54.5,78.3,90,70,75,C,D,C,B,B,B,B,D,D,A,D,A,C,D,B,C,A,B,A,A,A,A,A,A,22,B,A,A,C,B,C,D,C,A,F,6,6,6,5,6,6,6,5,6,6,5,5,6,5,6,6,5,6,5,5,5,5,5,5,5,8,8,6,6,5,6,6,6,6,6,6,6,6,7,6,6,6
2016,5,10002,10028,38,497,1,2211001,22,2,22,F,2012,2013,2,0,1,0,1,1,0,8,0,0,0,27,4,4,0,CAEBCDAC,CAEBCDAC,DCDEZBBCBZAECBZBACAEDZECCEA,DXXEZBBCBZAECBZBACAEDZECXEX,CAECBCAE,11100010,DCAEDEBCBDACEBDBAAAEDAECEEC,199180111810018110111811919,555,555,555,555,555,555,555,555,555,555,555,68,55.6,50,64,61,65,60,67,55,70,72.1,78.9,33.3,40,60,0,B,C,C,A,A,B,E,D,B,A,D,A,D,D,B,H,B,C,A,A,F,E,A,A,22,B,A,B,C,A,E,B,A,A,F,6,6,4,6,6,6,6,6,6,6,6,6,6,2,6,6,2,3,5,6,6,3,4,6,6,1,1,5,6,6,6,6,3,1,3,3,3,3,3,3,4,1
2016,5,10002,10028,17,508,1,2211001,22,2,32,M,2002,2003,2,1,1,0,1,1,0,8,0,0,0,27,2,1,0,CAEBCDAC,CAEBCDAC,ABECBCEDZACDZDCAABBBEDCEDED,ABEXBCEDZACDZDCAABBBEDCEDED,EBCADEBE,00000000,CAADEACDCADBEBBEACCBEBCDADC,000900018100800010011010000,555,555,555,555,555,555,333,555,555,333,555,19.1,9.6,0,24,0,0,0,48,80,40,22.3,25,6.7,0,0,20,D,D,C,A,B,C,A,A,B,A,D,A,E,E,B,C,F,B,A,A,A,A,A,A,22,B,A,G,A,A,A,B,E,H,F,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2016,6,10002,10028,28,591,1,3146107,31,3,24,F,2009,2010,2,1,1,0,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,DBADEBBCBEEBCEECCAAABEADCAD,DBADEBBCBEEBXXECCXAAXEADCAD,,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,A,D,A,D,E,B,C,C,B,A,A,A,C,B,A,31,B,A,B,A,A,C,C,E,A,F,6,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,4,4,6,6,6,6,6,6,6,6,6,6,6,6,4,5,5,5,1,6,5,4
2016,7,10002,10028,17,632,1,3503307,35,3,25,M,2009,2011,2,1,0,0,1,1,0,8,0,0,0,27,2,1,0,CAEBCDAC,CAEBCDAC,ABECBCEDZACDZDCAABBBEDCEDED,ABEXBCEDZACDZDCAABBBEDCEDED,BEDCADAC,00000111,AECDCDEDBADBBDCAABDBEDCEDED,100900118100811111011111111,555,555,555,555,555,555,555,555,555,555,555,63.4,46.9,37.5,61,69,65,70,53,65,50,68.9,70.8,58.3,75,40,60,C,C,C,C,C,C,E,D,B,A,A,A,D,E,B,C,E,B,A,A,A,B,A,A,35,B,A,B,C,A,B,B,E,E,F,5,6,5,5,6,6,6,6,6,6,6,5,5,5,5,6,5,6,5,5,5,5,6,6,6,6,6,5,5,6,6,6,5,4,4,4,4,5,5,5,5,4
2016,8,10002,10028,17,685,1,3171303,31,3,25,M,2008,2014,2,1,0,0,1,1,0,8,0,0,0,27,2,1,0,CAEBCDAC,CAEBCDAC,ABECBCEDZACDZDCAABBBEDCEDED,ABEXBCEDZACDZDCAABBBEDCEDED,CAEACDAE,11101110,ABEEBCEDBACDEDCAABBBEDCEDED,111911118111811111111111111,555,555,555,555,555,555,555,555,555,555,555,88.8,68.8,75,59.5,88,80,90,31,75,20,95.5,100,70,50,100,60,C,C,C,A,A,C,E,E,B,A,D,A,C,D,D,E,C,B,A,A,A,B,A,A,31,A,A,B,C,B,C,C,E,C,F,6,6,6,6,6,6,6,6,6,6,6,6,6,5,6,6,6,6,6,6,6,6,6,6,6,5,4,6,6,6,6,6,6,6,6,6,6,6,6,6,5,4
2016,8,10002,10028,17,685,1,3171303,31,3,23,M,2010,2011,2,1,0,0,1,1,0,8,0,0,0,27,2,1,0,CAEBCDAC,CAEBCDAC,ABECBCEDZACDZDCAABBBEDCEDED,ABEXBCEDZACDZDCAABBBEDCEDED,,,,,222,222,222,222,222,222,222,222,222,222,222,,,,,,,,,,,,,,,,,.,.,.,.,.,.,.,.,.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,8,10002,10028,5,695,1,3171303,31,3,23,F,2010,2011,2,1,0,0,1,1,0,8,0,0,0,27,0,4,0,CAEBCDAC,CAEBCDAC,AEEECCCBEADEBDEACDDBDDCABBD,AEEECCCBEXDEBDEAXDXBDXCABBD,CAECCDCE,11101100,ADECCBEBEDBECDEDEDEBCECABBD,101010011901011091910911111,555,555,555,555,555,555,555,333,555,555,555,54,48.1,62.5,26.5,53,65,50,0,0,0,55.9,65.2,3.3,10,0,0,C,D,C,B,A,A,B,D,B,A,A,A,D,D,D,A,E,B,A,A,A,C,B,A,33,A,B,B,C,B,B,E,A,E,F,6,5,4,6,5,4,4,3,5,3,4,4,6,3,5,6,6,6,5,4,6,5,4,6,5,6,6,1,4,6,5,6,6,5,5,4,6,6,8,8,5,4
2016,8,10002,10028,51,701,1,3171303,31,3,27,M,2006,2009,2,1,0,0,1,1,0,8,0,0,0,27,1,6,0,CAEBCDAC,CAEBCDAC,EECCBAECBDCCCADCBDACAZBCAAD,EECXBXXCBDCCCXDCBDACXZBCAAX,CCEBBDCC,10110101,AEEEDDABDDCEDBBEBCACADBCBAC,010909900110090010119811019,555,555,555,333,555,555,333,333,555,333,333,38.1,37.5,62.5,0,0,0,0,0,0,0,38.3,45,0,0,0,0,C,C,C,B,B,C,B,D,C,A,C,A,B,D,D,A,D,B,A,A,A,A,F,A,31,B,A,B,G,B,B,D,A,E,F,6,6,4,5,5,4,5,5,5,5,4,4,3,3,4,5,4,4,4,4,5,4,5,6,5,6,4,6,5,6,6,5,5,6,6,5,5,6,8,6,6,6
